country,quarter,CR3_q,HHI_q,n_bancos
malaysia,2024Q1,0.7377093337371242,2195.184415060616,6
malaysia,2024Q2,0.7407681980161411,2208.5350361383466,6
malaysia,2024Q3,0.7385366102970387,2202.847263590696,6
malaysia,2024Q4,0.7372340121448525,2191.8029686435484,6
malaysia,2025Q1,0.7377796111670403,2193.737939695164,6
malaysia,2025Q2,0.7380482199262449,2191.400606029033,6
malaysia,2025Q3,0.7343252760971245,2177.410532815777,6
malaysia,2025Q4,0.7337785116847183,2166.269256893914,6
malaysia,2026Q1,0.7320164042942694,2151.3651618288927,6
malaysia,2026Q2,0.7298494461760432,2139.3497603313117,6
malaysia,2026Q3,0.7269741973863207,2123.0601753011306,6
mexico,2004Q1,1.0,3942.6574738123322,3
mexico,2004Q2,1.0,3895.9542120104757,3
mexico,2004Q3,1.0,3925.802950915518,3
mexico,2004Q4,1.0,3944.8197168044785,3
mexico,2005Q1,1.0000000000000002,3986.465194525518,3
mexico,2005Q2,1.0,4083.457312755389,3
mexico,2005Q3,0.9999999999999999,4118.764303792536,3
mexico,2005Q4,1.0000000000000002,4338.208841157548,3
mexico,2006Q1,1.0,4340.242997836901,3
mexico,2006Q2,1.0,4247.964351258102,3
mexico,2006Q3,1.0,4443.444836851937,3
mexico,2006Q4,1.0000000000000002,4272.205228264062,3
mexico,2007Q1,1.0,4252.391094733595,3
mexico,2007Q2,1.0,4085.8029514981968,3
mexico,2007Q3,1.0,3981.8090511522532,3
mexico,2007Q4,1.0,3991.358868495932,3
mexico,2008Q1,0.9999999999999999,3874.081665889609,3
mexico,2008Q2,1.0,3852.3351448618832,3
mexico,2008Q3,1.0,4784.029335102637,3
mexico,2008Q4,1.0,3659.6296300542517,3
mexico,2009Q1,1.0,3852.294611105684,3
mexico,2009Q2,0.9741783155980908,3653.936924980604,4
mexico,2009Q3,0.9745437682527176,3517.841605161787,4
mexico,2009Q4,0.9735647220228656,3413.6562127423954,4
mexico,2010Q1,0.9688393212553325,3541.224147831332,4
mexico,2010Q2,0.967755944584836,3458.860900538111,4
mexico,2010Q3,0.969850242234076,3492.732384063701,4
mexico,2010Q4,0.9699788126079724,3584.9600109631324,4
mexico,2011Q1,0.9671325069749659,3506.551819934457,4
mexico,2011Q2,0.9684240620769534,3429.240120159827,4
mexico,2011Q3,0.9706781887467506,3549.7200063851246,4
mexico,2011Q4,0.9682511935985691,3559.565881235902,4
mexico,2012Q1,0.9665598917761667,3482.7820731513116,4
mexico,2012Q2,0.9668605949910792,3466.114105371612,4
mexico,2012Q3,0.9678262744499184,3556.1557453851237,4
mexico,2012Q4,0.9624950339293981,3528.529831519273,4
mexico,2013Q1,0.9629596921481237,3510.8332852994376,4
mexico,2013Q2,0.9613226362862237,3528.8725489136864,4
mexico,2013Q3,0.9597380421888217,3457.378773801215,4
mexico,2013Q4,0.9597899513050836,3450.815810921867,4
mexico,2014Q1,0.9590796146438111,3508.9800623749657,4
mexico,2014Q2,0.9577514300137646,3527.69703099122,4
mexico,2014Q3,0.9569879746876779,3515.8167087015004,4
mexico,2014Q4,0.9581477564015735,3520.271273393002,4
mexico,2015Q1,0.9606885212898031,3532.1530024534554,4
mexico,2015Q2,0.962433057583795,3559.552644262833,4
